t,count
1663416859,0
1663416860,0
1663416861,0
1663416862,0
1663416863,0
1663416864,0
1663416865,0
1663416866,0
1663416867,0
1663416868,0
1663416869,0
1663416870,5763249321
1663416871,5763249321
1663416872,5763249321
1663416873,5763249321
1663416874,5763249321
1663416875,5763249321
1663416876,9737040924
1663416877,9868349609
1663416878,9868349609
1663416879,9868349609
1663416880,9868349609
1663416881,9868349609
1663416882,9868349609
1663416883,15153799595
1663416884,15153799595
1663416885,15153799595
1663416886,15153799595
1663416887,15153799595
1663416888,15153799595
1663416889,15153799595
1663416890,15153799595
1663416891,15153799595
1663416892,15153799595
1663416893,15153799595
1663416894,20027118074
1663416895,20027118074
1663416896,20027118074
1663416897,20027118074
1663416898,20027118074
1663416899,20027118074
1663416900,25034169838
1663416901,25228946488
1663416902,25612451403
1663416903,25831640676
1663416904,25831640676
1663416905,25831640676
1663416906,25831640676
1663416907,29543767239
1663416908,29543767239
1663416909,29543767239
1663416910,29543767239
1663416911,29543767239
1663416912,33568767877
1663416913,33575488016
1663416914,33575488016
1663416915,33575488016
1663416916,37436967701
1663416916,37442936191
