t,count
1663354732,0
1663354733,0
1663354734,0
1663354735,0
1663354736,0
1663354737,0
1663354738,0
1663354739,0
1663354740,0
1663354741,0
1663354742,4169979341
1663354743,4169979341
1663354744,4169979341
1663354745,4169979341
1663354746,6516187450
1663354747,6516187450
1663354748,6516187450
1663354749,8997426872
1663354750,8997426872
1663354751,8997426872
1663354752,8997426872
1663354753,8997426872
1663354754,11463248449
1663354755,11463248449
1663354756,11463248449
1663354757,14744036933
1663354758,14960851722
1663354759,15172304674
1663354760,15452958693
1663354761,15727986735
1663354762,15727986735
1663354763,15727986735
1663354764,15727986735
1663354765,17820154528
1663354766,17820154528
1663354766,19654897971
