t,value
1663352578,99540328
1663352579,101554088
1663352580,102904512
1663352581,104254896
1663352582,106268160
1663352583,107610336
1663352584,81453192
1663352585,108947312
1663352586,145382608
1663352587,184051896
1663352588,265550704
1663352589,160785576
1663352590,245250752
1663352591,97202368
1663352592,156233416
1663352593,157455640
1663352594,159085368
1663352595,88339448
1663352596,140846192
1663352597,251449472
1663352598,259214104
1663352599,286093008
1663352600,121267072
1663352601,335570360
1663352602,344303936
1663352603,97765152
1663352604,111328400
1663352605,266850472
1663352606,133523160
1663352607,361709768
1663352608,145031728
1663352609,179676072
1663352610,187363320
1663352611,214904656
1663352612,250409752
1663352613,293822488
1663352614,300110504
1663352615,314069800
1663352615,316806144
