t,value
1663352370,4950000000
1663352371,5140000000
1663352372,5180000000
1663352373,5230000000
1663352374,5270000000
1663352375,6040000000
1663352376,7150000000
1663352377,8470000000
1663352378,9900000000
1663352379,10920000000
1663352380,11850000000
1663352381,12660000000
1663352382,13930000000
1663352383,14770000000
1663352384,15670000000
1663352385,15740000000
1663352386,16210000000
1663352387,17350000000
1663352388,18440000000
1663352389,19260000000
1663352390,19940000000
1663352391,20120000000
1663352392,21030000000
1663352393,22050000000
1663352394,23000000000
1663352395,23850000000
1663352396,23890000000
1663352397,25660000000
1663352398,26910000000
1663352399,27400000000
1663352400,28310000000
1663352401,29480000000
1663352402,29650000000
1663352403,29900000000
1663352404,30900000000
1663352405,31870000000
1663352406,32830000000
1663352407,32890000000
1663352408,33570000000
1663352409,34360000000
1663352410,34890000000
1663352411,35420000000
1663352412,35420000000
1663352413,35460000000
1663352414,35460000000
1663352415,35790000000
1663352416,36840000000
1663352417,38090000000
1663352418,38690000000
1663352419,39700000000
1663352420,40670000000
1663352420,40790000000
