t,value
1663422296,37385608
1663422297,37578992
1663422298,37683504
1663422299,38615904
1663422300,47634184
1663422301,61519000
1663422302,73123608
1663422303,76345376
1663422304,77287336
1663422305,83914192
1663422306,85173760
1663422307,86869696
1663422308,87967336
1663422309,87787728
1663422310,88290856
1663422311,88312968
1663422312,88359144
1663422313,91849096
1663422314,91959360
1663422315,93087112
1663422316,94406752
1663422317,95083304
1663422318,96126984
1663422319,97575296
1663422320,97765264
1663422321,98033592
1663422322,98632384
1663422323,98885088
1663422324,98896264
1663422325,99699056
1663422326,100399104
1663422327,101053568
1663422328,101663664
