t,count
1663436527,0
1663436528,0
1663436529,0
1663436530,0
1663436531,0
1663436532,0
1663436533,0
1663436534,0
1663436535,12655
1663436536,12655
1663436537,12655
1663436538,18360
1663436539,18548
1663436540,19960
1663436541,23877
1663436542,23877
1663436543,23877
1663436544,23877
1663436545,23877
1663436546,26171
1663436547,31039
1663436548,31039
1663436549,37423
1663436550,38831
1663436551,39551
1663436552,39551
1663436553,39551
1663436554,39551
1663436555,44302
1663436556,48382
1663436556,48412
