t,count
1663368099,0
1663368100,0
1663368101,0
1663368102,0
1663368103,0
1663368104,0
1663368105,0
1663368106,0
1663368107,0
1663368108,0
1663368109,4141221233
1663368110,4141221233
1663368111,4141221233
1663368112,4141221233
1663368113,6323566484
1663368114,6425852494
1663368115,6425852494
1663368116,6425852494
1663368117,9031545627
1663368118,9031545627
1663368119,9031545627
1663368120,9031545627
1663368121,11026647698
1663368122,11026647698
1663368123,11026647698
1663368124,13264176315
1663368125,13264176315
1663368126,13264176315
1663368127,13264176315
1663368128,15709195971
1663368129,15923453556
1663368130,16098892529
1663368131,16528930989
1663368132,16528930989
1663368133,16528930989
1663368134,16528930989
1663368135,16528930989
1663368136,16528930989
1663368137,16528930989
1663368138,16528930989
1663368139,18869433227
1663368140,18869433227
1663368141,20686433632
1663368141,20694095874
