t,value
1663363035,114284840
1663363036,116969568
1663363037,118767344
1663363038,119670336
1663363039,110076768
1663363040,210441808
1663363041,259911736
1663363042,102331696
1663363043,237518600
1663363044,124775720
1663363045,379884368
1663363046,533582224
1663363047,322933864
1663363048,668717992
1663363049,269336440
1663363050,231871504
1663363051,463625488
1663363052,472316856
1663363053,598058352
1663363054,531215216
1663363055,363140872
1663363056,674252384
1663363058,230278928
1663363058,413995072
1663363059,443665336
1663363060,526432896
1663363061,634237032
1663363062,652747072
1663363063,258524648
1663363064,239021328
1663363065,255892200
1663363065,270474888
