t,value
1663370642,4500000000
1663370643,4560000000
1663370644,4590000000
1663370645,4640000000
1663370646,5510000000
1663370647,6880000000
1663370648,8310000000
1663370649,9760000000
1663370650,11790000000
1663370651,13870000000
1663370652,14790000000
1663370653,16470000000
1663370654,18380000000
1663370655,18850000000
1663370656,20590000000
1663370657,22530000000
1663370658,22890000000
1663370659,24260000000
1663370660,26130000000
1663370661,27870000000
1663370662,28470000000
1663370663,28960000000
1663370664,31070000000
1663370665,31850000000
1663370666,32130000000
1663370667,32940000000
1663370668,33860000000
1663370669,34650000000
1663370670,35780000000
1663370671,37570000000
1663370672,39200000000
1663370672,39460000000
