t,value
1663377370,37317800
1663377371,37508304
1663377372,37632824
1663377373,37737040
1663377374,47594144
1663377375,61827216
1663377376,74055208
1663377377,76629336
1663377378,76832496
1663377379,77281008
1663377380,82090480
1663377381,81941800
1663377382,81734144
1663377383,81259632
1663377384,82831696
1663377385,82984240
1663377386,83117984
1663377387,84278136
1663377388,86832648
1663377389,86878352
1663377390,86917520
1663377391,87206872
1663377392,90615464
1663377393,90626432
1663377394,91306800
1663377395,91921104
1663377396,91961448
1663377397,92007832
1663377397,92367584
