t,count
1663353443,0
1663353444,0
1663353445,0
1663353446,0
1663353447,0
1663353448,0
1663353449,0
1663353450,0
1663353451,0
1663353452,0
1663353453,0
1663353454,0
1663353455,0
1663353456,0
1663353457,0
1663353458,0
1663353459,9418
1663353460,9418
1663353461,9418
1663353462,9418
1663353463,9418
1663353464,13068
1663353465,13068
1663353466,13068
1663353467,13068
1663353468,13068
1663353469,13068
1663353470,13068
1663353471,13068
1663353472,16535
1663353473,16535
1663353474,16535
1663353475,19760
1663353476,20279
1663353477,20721
1663353478,20976
1663353479,21259
1663353480,21259
1663353481,21259
1663353482,21259
1663353483,23255
1663353484,23255
1663353484,23255
