t,value
1663367126,116614752
1663367127,119299480
1663367128,121097256
1663367129,137103384
1663367130,120517248
1663367131,215814432
1663367132,206611144
1663367133,547578248
1663367134,528435552
1663367135,348973536
1663367136,618670072
1663367137,614965992
1663367138,123349672
1663367139,647048928
1663367140,743808536
1663367141,262976472
1663367142,351257440
1663367143,401767008
1663367144,597028744
1663367145,546226208
1663367146,637373088
1663367147,707737032
1663367148,860643712
1663367149,507522416
1663367150,804779352
1663367151,705465424
1663367151,821186496
