t,value
1663359641,4500000000
1663359642,4550000000
1663359643,4570000000
1663359644,4760000000
1663359645,7490000000
1663359646,10260000000
1663359647,12130000000
1663359648,15710000000
1663359649,19400000000
1663359650,19870000000
1663359651,19910000000
1663359652,20020000000
1663359653,22840000000
1663359654,26440000000
1663359655,30070000000
1663359656,32230000000
1663359657,33910000000
1663359658,34870000000
1663359659,37620000000
1663359660,41340000000
1663359661,43900000000
1663359662,47370000000
1663359663,50650000000
1663359663,50780000000
