t,value
1663374799,37270352
1663374800,37447784
1663374801,37582544
1663374802,37664680
1663374803,46619632
1663374804,59501912
1663374805,70085368
1663374806,75970472
1663374807,76996080
1663374808,77184640
1663374809,81496736
1663374810,81592016
1663374811,82043576
1663374812,82371800
1663374813,82446856
1663374814,84452320
1663374815,84208424
1663374816,85202944
1663374817,86492568
1663374818,86672976
1663374819,87421560
1663374820,89042072
1663374821,90911064
1663374822,90710584
1663374823,92554232
1663374824,92563312
1663374825,93602720
1663374826,93448312
1663374827,93769736
