name                    ,spark.app.name                    ,spark.executor.instances ,spark.executor.cores ,spark.executor.memory(GB) ,input.size (1000 lines) ,sumCpu (s  ) ,maxHeap (MB  ) ,maxNonHeap(MB  ) ,sumRun(s  ) ,sumjvmcpu(s  ) ,maxdrheap(MB  ) ,sumCpu (s  1/4) ,maxHeap (MB  1/4) ,maxNonHeap(MB  1/4) ,sumRun(s  1/4) ,sumjvmcpu(s  1/4) ,maxdrheap(MB  1/4) ,sumCpu (s  2/4) ,maxHeap (MB  2/4) ,maxNonHeap(MB  2/4) ,sumRun(s  2/4) ,sumjvmcpu(s  2/4) ,maxdrheap(MB  2/4) ,sumCpu (s  3/4) ,maxHeap (MB  3/4) ,maxNonHeap(MB  3/4) ,sumRun(s  3/4) ,sumjvmcpu(s  3/4) ,maxdrheap(MB  3/4) ,sumCpu (s  4/4) ,maxHeap (MB  4/4) ,maxNonHeap(MB  4/4) ,sumRun(s  4/4) ,sumjvmcpu(s  4/4) ,maxdrheap(MB  4/4)
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220917055449-4110 ,LogisticRegressionWithElasticNet  ,                       3 ,                   4 ,                        4 ,                    438 ,          64 ,          1555 ,              86 ,        120 ,           121 ,           6107 ,              0 ,              120 ,                 37 ,             0 ,               14 ,              6107 ,              0 ,              175 ,                 69 ,             0 ,               33 ,              6107 ,             24 ,              988 ,                 81 ,            54 ,               72 ,              6107 ,             46 ,             1426 ,                 84 ,            94 ,               96 ,              6107
app-20220916211002-3151 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                     30 ,          53 ,           407 ,              96 ,         71 ,           240 ,           4488 ,              0 ,              266 ,                 75 ,             0 ,               78 ,              4488 ,             23 ,              306 ,                 76 ,            30 ,              130 ,              4488 ,             33 ,              331 ,                 80 ,            45 ,              166 ,              4488 ,             44 ,              349 ,                 83 ,            60 ,              209 ,              4488
app-20220916211053-3152 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                     66 ,          73 ,           408 ,              97 ,        130 ,           288 ,           4488 ,              0 ,              146 ,                 50 ,             0 ,               77 ,              4488 ,             25 ,              362 ,                 84 ,            45 ,              152 ,              4488 ,             40 ,              366 ,                 87 ,            74 ,              190 ,              4488 ,             59 ,              366 ,                 93 ,           104 ,              242 ,              4488
app-20220916211140-3153 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                     90 ,          86 ,           383 ,              98 ,        202 ,           326 ,           4488 ,              0 ,              150 ,                 47 ,             0 ,               77 ,              4488 ,             32 ,              325 ,                 77 ,            77 ,              163 ,              4488 ,             49 ,              325 ,                 86 ,           117 ,              214 ,              4488 ,             70 ,              328 ,                 94 ,           167 ,              277 ,              4488
app-20220916211228-3154 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    126 ,          99 ,           431 ,              98 ,        247 ,           351 ,           4488 ,              0 ,              154 ,                 48 ,             0 ,               80 ,              4488 ,             33 ,              272 ,                 76 ,            84 ,              164 ,              4488 ,             55 ,              331 ,                 87 ,           141 ,              227 ,              4488 ,             80 ,              331 ,                 94 ,           205 ,              298 ,              4488
app-20220916211315-3155 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    150 ,         107 ,           381 ,              98 ,        261 ,           368 ,           4488 ,              0 ,              154 ,                 48 ,             0 ,               81 ,              4488 ,             34 ,              352 ,                 76 ,            92 ,              173 ,              4488 ,             58 ,              369 ,                 88 ,           153 ,              240 ,              4488 ,             86 ,              369 ,                 95 ,           219 ,              315 ,              4488
app-20220916211403-3156 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    186 ,         118 ,           424 ,              99 ,        275 ,           383 ,           4488 ,              0 ,              155 ,                 48 ,             0 ,               87 ,              4488 ,             38 ,              233 ,                 76 ,           101 ,              174 ,              4488 ,             65 ,              312 ,                 87 ,           163 ,              244 ,              4488 ,             94 ,              345 ,                 94 ,           229 ,              325 ,              4488
app-20220916211453-3157 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    210 ,         126 ,           452 ,              99 ,        295 ,           394 ,           4488 ,              0 ,              157 ,                 57 ,             0 ,              100 ,              4488 ,             39 ,              231 ,                 82 ,           105 ,              194 ,              4488 ,             69 ,              316 ,                 87 ,           177 ,              254 ,              4488 ,            101 ,              379 ,                 94 ,           252 ,              341 ,              4488
app-20220916211545-3158 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    258 ,         141 ,           467 ,              98 ,        305 ,           407 ,           4488 ,              0 ,              164 ,                 55 ,             0 ,              103 ,              4488 ,             41 ,              284 ,                 83 ,           102 ,              200 ,              4488 ,             75 ,              304 ,                 90 ,           177 ,              270 ,              4488 ,            114 ,              387 ,                 95 ,           263 ,              356 ,              4488
app-20220916211638-3159 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    294 ,         152 ,           466 ,              98 ,        323 ,           422 ,           4488 ,              0 ,              174 ,                 56 ,             0 ,              107 ,              4488 ,             42 ,              282 ,                 83 ,           110 ,              196 ,              4488 ,             79 ,              344 ,                 87 ,           187 ,              267 ,              4488 ,            118 ,              380 ,                 94 ,           269 ,              359 ,              4488
app-20220916211731-3160 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    342 ,         166 ,           512 ,              99 ,        333 ,           431 ,           4488 ,              0 ,              196 ,                 60 ,             0 ,              106 ,              4488 ,             43 ,              354 ,                 85 ,           103 ,              206 ,              4488 ,             83 ,              354 ,                 90 ,           181 ,              270 ,              4488 ,            128 ,              375 ,                 95 ,           273 ,              364 ,              4488
app-20220916211827-3161 ,RandomForestClassifierExample     ,                      12 ,                   1 ,                        1 ,                    390 ,         184 ,           463 ,              99 ,        361 ,           461 ,           4488 ,              0 ,              183 ,                 61 ,             0 ,              112 ,              4488 ,             45 ,              347 ,                 84 ,           110 ,              215 ,              4488 ,             90 ,              370 ,                 91 ,           196 ,              300 ,              4488 ,            145 ,              463 ,                 96 ,           302 ,              394 ,              4488
