t,count
1663368570,0
1663368571,0
1663368572,0
1663368573,0
1663368574,0
1663368575,0
1663368576,0
1663368577,0
1663368578,0
1663368579,0
1663368580,5649
1663368581,5649
1663368582,5649
1663368583,5649
1663368584,8438
1663368585,8438
1663368586,8438
1663368587,8438
1663368588,11206
1663368589,11206
1663368590,11206
1663368591,11206
1663368592,11206
1663368593,11206
1663368594,13609
1663368595,13609
1663368596,13609
1663368597,16544
1663368598,16700
1663368599,17031
1663368600,17476
1663368601,17476
1663368602,17476
1663368603,17476
1663368604,17476
1663368605,19828
1663368606,19828
1663368606,21845
