t,count
1663424102,0
1663424105,0
1663424108,0
1663424111,5785397539
1663424114,5785397539
1663424117,10195103197
1663424120,10195103197
1663424123,15991153371
1663424126,15991153371
1663424129,20288307048
1663424132,20288307048
1663424135,25662538901
1663424138,25662538901
1663424141,25662538901
1663424144,33170413183
1663424147,33657503430
1663424150,33657503430
1663424153,33657503430
1663424156,33657503430
1663424159,33657503430
1663424162,38555938270
1663424165,43536145181
1663424165,43542143344
