t,value
1663431910,4590000000
1663431913,9410000000
1663431916,14140000000
1663431919,17770000000
1663431922,21570000000
1663431925,25260000000
1663431928,28280000000
1663431931,31100000000
1663431934,31140000000
1663431937,31370000000
1663431940,35630000000
1663431943,39750000000
1663431946,42780000000
1663431949,46460000000
1663431952,50660000000
1663431955,52400000000
1663431958,52780000000
1663431961,55890000000
1663431964,59250000000
1663431967,62600000000
1663431970,66070000000
1663431973,69340000000
1663431973,69590000000
