t,count
1663352203,0
1663352204,0
1663352205,0
1663352206,0
1663352207,0
1663352208,0
1663352209,0
1663352210,0
1663352211,0
1663352212,0
1663352213,0
1663352214,0
1663352215,0
1663352216,0
1663352217,0
1663352218,3290718254
1663352219,3290718254
1663352220,3290718254
1663352221,3290718254
1663352222,3290718254
1663352223,4871823722
1663352224,4910847018
1663352225,4910847018
1663352226,4910847018
1663352227,4910847018
1663352228,6444861149
1663352229,6444861149
1663352230,6444861149
1663352231,6444861149
1663352232,6444861149
1663352233,7972360226
1663352234,7972360226
1663352235,7972360226
1663352236,7972360226
1663352237,9761616440
1663352238,9928048436
1663352239,10045166728
1663352240,10294089024
1663352241,10338168894
1663352242,11322688295
1663352243,11322688295
1663352244,11322688295
1663352245,11322688295
1663352246,12614988226
1663352247,12614988226
1663352247,13783496167
