t,value
1663371155,113541272
1663371156,116226064
1663371157,118023840
1663371158,118926832
1663371159,80111544
1663371160,186377008
1663371161,263813560
1663371162,141526400
1663371163,404310432
1663371164,393162384
1663371165,578307960
1663371166,616718040
1663371167,332762856
1663371168,598393824
1663371169,441552048
1663371170,443029856
1663371171,476140056
1663371172,738163120
1663371173,349988912
1663371174,729578560
1663371175,805052808
1663371176,845793696
1663371177,1055744976
1663371178,1089139664
1663371179,1145011384
1663371180,362680328
1663371181,185919392
1663371182,737024912
1663371183,425706872
1663371184,833700856
