t,value
1663367094,4580000000
1663367095,4630000000
1663367096,4690000000
1663367097,4760000000
1663367098,7470000000
1663367099,9000000000
1663367100,11430000000
1663367101,14960000000
1663367102,18020000000
1663367103,20080000000
1663367104,23670000000
1663367105,26660000000
1663367106,26760000000
1663367107,26910000000
1663367108,30630000000
1663367109,34400000000
1663367110,35380000000
1663367111,39250000000
1663367112,42770000000
1663367113,44940000000
1663367114,47320000000
1663367115,48880000000
1663367116,48930000000
1663367117,50900000000
1663367118,54670000000
1663367119,55820000000
