t,value
1663363532,37129816
1663363533,37303056
1663363534,37414968
1663363535,37510328
1663363536,39161112
1663363537,49635384
1663363538,60093064
1663363539,67470888
1663363540,75565784
1663363541,76611216
1663363542,76981264
1663363543,78919504
1663363544,80634536
1663363545,80958856
1663363546,81104432
1663363547,81182584
1663363548,82286024
1663363549,84730040
1663363550,85782704
1663363551,85946256
1663363552,85770592
1663363553,86440512
1663363554,88604808
1663363555,90045304
1663363556,90484616
1663363557,91191912
1663363558,91197240
1663363559,91534512
1663363560,91238304
1663363561,91775072
