t,count
1663352531,0
1663352532,0
1663352533,0
1663352534,0
1663352535,0
1663352536,0
1663352537,0
1663352538,0
1663352539,0
1663352540,0
1663352541,0
1663352542,0
1663352543,0
1663352544,0
1663352545,0
1663352546,8742
1663352547,8742
1663352548,8742
1663352549,8742
1663352550,11266
1663352551,11266
1663352552,11481
1663352553,11481
1663352554,11481
1663352555,12996
1663352556,12996
1663352557,12996
1663352558,12996
1663352559,14364
1663352560,14364
1663352561,14364
1663352562,16022
1663352563,16153
1663352564,16244
1663352565,16729
1663352566,16891
1663352567,16891
1663352568,17767
1663352569,18233
1663352569,18283
