t,count
1663369596,0
1663369597,0
1663369598,0
1663369599,0
1663369600,0
1663369601,0
1663369602,0
1663369603,0
1663369604,0
1663369605,0
1663369606,0
1663369607,4906876643
1663369608,4906876643
1663369609,4906876643
1663369610,4906876643
1663369611,7848231978
1663369612,7848231978
1663369613,7848231978
1663369614,7848231978
1663369615,10900098162
1663369616,10900098162
1663369617,10930938758
1663369618,10930938758
1663369619,10930938758
1663369620,10930938758
1663369621,10930938758
1663369622,10930938758
1663369623,10930938758
1663369624,13969276441
1663369625,13969276441
1663369626,13969276441
1663369627,16331650736
1663369628,16339358478
