t,value
1663361814,50117896
1663361815,52773400
1663361816,54253264
1663361817,55724920
1663361818,57180424
1663361819,122503752
1663361820,70856496
1663361821,144443968
1663361822,78817792
1663361823,92363584
1663361824,223723112
1663361825,186667264
1663361826,170501728
1663361827,171822696
1663361828,314629280
1663361829,568248968
1663361830,401223072
1663361831,657767336
1663361832,694787896
1663361833,696217840
1663361834,715064416
1663361835,89771176
1663361836,127235896
1663361837,470074200
1663361838,425848304
1663361839,474420032
1663361840,667063688
1663361840,670736528
