t,value
1663433084,4410000000
1663433085,4460000000
1663433086,4500000000
1663433087,4540000000
1663433088,6810000000
1663433089,9540000000
1663433090,11760000000
1663433091,13630000000
1663433092,14730000000
1663433093,15800000000
1663433094,16820000000
1663433095,17270000000
1663433096,19680000000
1663433097,20810000000
1663433098,21840000000
1663433099,22870000000
1663433100,24030000000
1663433101,25060000000
1663433102,25280000000
1663433103,27220000000
1663433104,28230000000
1663433105,29500000000
1663433106,30640000000
1663433107,31670000000
1663433108,33260000000
1663433109,34310000000
1663433110,35360000000
1663433111,36370000000
1663433112,37430000000
1663433113,38850000000
1663433114,39920000000
1663433115,40930000000
1663433116,41950000000
1663433117,42960000000
1663433118,43980000000
1663433119,45630000000
1663433120,46650000000
1663433121,47940000000
1663433122,49390000000
1663433123,51070000000
1663433124,51260000000
1663433125,51280000000
1663433126,51290000000
1663433127,51300000000
1663433128,51320000000
1663433129,52600000000
1663433130,53630000000
1663433131,54630000000
1663433132,55680000000
1663433133,57270000000
1663433133,57770000000
