t,value
1663428323,37430464
1663428324,37637744
1663428325,37752672
1663428326,38074488
1663428327,47703056
1663428328,61487760
1663428329,73584720
1663428330,77290808
1663428331,77493520
1663428332,82637600
1663428333,85025080
1663428334,85754672
1663428335,87700328
1663428336,87874048
1663428337,88169928
1663428338,88298952
1663428339,88366008
1663428340,89139416
1663428341,91836792
1663428342,92887648
1663428343,94133880
1663428344,94534560
1663428345,95650576
1663428346,96491568
1663428347,97337224
1663428348,98096504
1663428349,98118168
1663428350,99175336
1663428351,99973096
1663428352,99627520
1663428353,100652440
1663428354,100714144
1663428354,101133344
