t,count
1663360942,0
1663360943,0
1663360944,0
1663360945,0
1663360946,0
1663360947,0
1663360948,0
1663360949,0
1663360950,0
1663360951,0
1663360952,0
1663360953,0
1663360954,0
1663360955,6388
1663360956,6388
1663360957,6388
1663360958,6388
1663360959,6388
1663360960,6388
1663360961,9730
1663360962,9730
1663360963,9730
1663360964,9730
1663360965,12403
1663360966,12403
1663360967,12403
1663360968,12403
1663360969,12403
1663360970,12403
1663360971,12403
1663360972,15826
1663360973,15826
1663360974,15826
1663360975,18618
1663360976,19021
1663360977,19263
1663360978,19717
1663360979,19717
1663360980,19717
1663360981,19717
1663360982,19717
1663360983,22294
1663360984,22294
1663360985,24277
1663360985,24277
