t,count
1663373860,0
1663373861,0
1663373862,0
1663373863,0
1663373864,0
1663373865,0
1663373866,0
1663373867,0
1663373868,5213626295
1663373869,5213626295
1663373870,8619988640
1663373871,8714440219
1663373872,9598578120
1663373873,12291317016
1663373874,12291317016
1663373875,13121364152
1663373876,16014133469
1663373877,16014133469
1663373878,19533804259
1663373879,19843463462
1663373880,20900287344
1663373881,21768265624
1663373882,22500190749
1663373883,22500190749
1663373884,23162270909
1663373885,26348757749
1663373886,29122091639
