t,value
1663432275,97569536
1663432276,100254264
1663432277,102052040
1663432278,102955032
1663432279,93385816
1663432280,201449880
1663432281,237551160
1663432282,500992408
1663432283,106580608
1663432284,101877728
1663432285,639815032
1663432286,1132424896
1663432287,496967176
1663432288,87778960
1663432289,1248185176
1663432290,212808080
1663432291,326658688
1663432292,332605568
1663432293,334019024
1663432294,368343328
1663432295,188964248
1663432296,1189624768
1663432297,1474167000
1663432298,993073664
1663432299,394891584
1663432300,991837760
1663432301,1087194752
1663432302,1290003704
1663432303,1291290160
1663432304,1292758064
1663432305,1735341744
1663432306,889067112
1663432307,1768827040
1663432308,526409552
1663432309,1966798736
1663432310,296025296
