t,value
1663357117,4640000000
1663357118,4710000000
1663357119,4760000000
1663357120,5220000000
1663357121,7170000000
1663357122,9430000000
1663357123,11850000000
1663357124,15030000000
1663357125,16360000000
1663357126,17520000000
1663357127,20920000000
1663357128,23310000000
1663357129,25970000000
1663357130,28960000000
1663357131,31010000000
1663357132,31060000000
1663357133,31070000000
1663357134,32520000000
1663357135,35670000000
1663357136,38980000000
1663357137,41890000000
1663357138,45140000000
1663357139,47390000000
1663357140,49580000000
1663357141,51130000000
1663357142,52460000000
1663357143,53570000000
1663357144,55730000000
1663357145,58780000000
1663357146,60860000000
1663357147,63870000000
1663357147,64320000000
