t,value
1663354172,37368928
1663354173,37563240
1663354174,37649888
1663354175,37715784
1663354176,37804928
1663354177,40703232
1663354178,43966752
1663354179,46863152
1663354180,51751712
1663354181,56009336
1663354182,59625192
1663354183,62987536
1663354184,71152256
1663354185,75684048
1663354186,75801000
1663354187,77600080
1663354188,80419224
1663354189,80949576
1663354190,82234816
1663354191,82512528
1663354192,83105992
1663354193,83520992
1663354194,83791968
1663354195,84097720
1663354196,84311352
