t,count
1663360684,0
1663360685,0
1663360686,0
1663360687,0
1663360688,0
1663360689,0
1663360690,0
1663360691,0
1663360692,0
1663360693,0
1663360694,0
1663360695,5350
1663360696,5350
1663360697,5350
1663360698,5350
1663360699,7755
1663360700,7822
1663360701,7822
1663360702,9148
1663360703,9148
1663360704,9148
1663360705,9148
1663360706,11058
1663360707,11058
1663360708,11058
1663360709,12984
1663360710,13066
1663360711,13184
1663360712,13395
1663360713,13395
1663360714,14397
1663360715,15195
1663360715,15206
